Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
"23/05/2021 10:30:11","23/05/2021","Calorific Value, LDZ(EA)","38.7000","23/05/2021 10:33:29",""
"23/05/2021 10:30:11","23/05/2021","Calorific Value, LDZ(EM)","39.2000","23/05/2021 10:33:29",""
"23/05/2021 10:30:11","23/05/2021","Calorific Value, LDZ(NE)","40.2000","23/05/2021 10:33:29",""
"23/05/2021 10:30:11","23/05/2021","Calorific Value, LDZ(NO)","40.4000","23/05/2021 10:33:29",""
"23/05/2021 10:30:11","23/05/2021","Calorific Value, LDZ(NT)","38.9000","23/05/2021 10:33:29",""
"23/05/2021 10:30:11","23/05/2021","Calorific Value, LDZ(NW)","39.8000","23/05/2021 10:33:29",""
"23/05/2021 10:30:11","23/05/2021","Calorific Value, LDZ(SC)","39.6000","23/05/2021 10:33:29",""
"23/05/2021 10:30:11","23/05/2021","Calorific Value, LDZ(SE)","39.2000","23/05/2021 10:33:29",""
"23/05/2021 10:30:11","23/05/2021","Calorific Value, LDZ(SO)","39.2000","23/05/2021 10:33:29",""
"23/05/2021 10:30:11","23/05/2021","Calorific Value, LDZ(SW)","39.2000","23/05/2021 10:33:29",""
"23/05/2021 10:30:11","23/05/2021","Calorific Value, LDZ(WM)","39.4000","23/05/2021 10:33:29",""
"23/05/2021 10:30:11","23/05/2021","Calorific Value, LDZ(WN)","39.9000","23/05/2021 10:33:29",""
"23/05/2021 10:30:11","23/05/2021","Calorific Value, LDZ(WS)","39.2000","23/05/2021 10:33:29",""
"23/05/2021 10:30:11","22/05/2021","Calorific Value, Campbeltown","38.8000","23/05/2021 10:33:29",""
"23/05/2021 10:30:11","22/05/2021","Calorific Value, LDZ(EA)","39.1000","23/05/2021 10:33:29",""
"23/05/2021 10:30:11","22/05/2021","Calorific Value, LDZ(EM)","39.3000","23/05/2021 10:33:29",""
"23/05/2021 10:30:11","22/05/2021","Calorific Value, LDZ(NE)","40.1000","23/05/2021 10:33:29",""
"23/05/2021 10:30:11","22/05/2021","Calorific Value, LDZ(NO)","40.4000","23/05/2021 10:33:29",""
"23/05/2021 10:30:11","22/05/2021","Calorific Value, LDZ(NT)","39.2000","23/05/2021 10:33:29",""
"23/05/2021 10:30:11","22/05/2021","Calorific Value, LDZ(NW)","39.8000","23/05/2021 10:33:29",""
"23/05/2021 10:30:11","22/05/2021","Calorific Value, LDZ(SC)","39.6000","23/05/2021 10:33:29",""
"23/05/2021 10:30:11","22/05/2021","Calorific Value, LDZ(SE)","39.1000","23/05/2021 10:33:29",""
"23/05/2021 10:30:11","22/05/2021","Calorific Value, LDZ(SO)","39.2000","23/05/2021 10:33:29",""
"23/05/2021 10:30:11","22/05/2021","Calorific Value, LDZ(SW)","39.2000","23/05/2021 10:33:29",""
"23/05/2021 10:30:11","22/05/2021","Calorific Value, LDZ(WM)","39.5000","23/05/2021 10:33:29",""
"23/05/2021 10:30:11","22/05/2021","Calorific Value, LDZ(WN)","39.9000","23/05/2021 10:33:29",""
"23/05/2021 10:30:11","22/05/2021","Calorific Value, LDZ(WS)","39.2000","23/05/2021 10:33:29",""
"23/05/2021 10:30:11","22/05/2021","Calorific Value, Oban","38.8000","23/05/2021 10:33:29",""
"23/05/2021 10:30:11","22/05/2021","Calorific Value, Stornoway","93.0000","23/05/2021 10:33:29",""
"23/05/2021 10:30:11","22/05/2021","Calorific Value, Stranraer","38.8000","23/05/2021 10:33:29",""
"23/05/2021 10:30:11","22/05/2021","Calorific Value, Thurso","38.8000","23/05/2021 10:33:29",""
"23/05/2021 10:30:11","22/05/2021","Calorific Value, Wick","38.8000","23/05/2021 10:33:29",""
"22/05/2021 10:30:15","22/05/2021","Calorific Value, LDZ(EA)","39.2000","22/05/2021 10:33:11",""
"22/05/2021 10:30:15","22/05/2021","Calorific Value, LDZ(EM)","39.3000","22/05/2021 10:33:11",""
"22/05/2021 10:30:15","22/05/2021","Calorific Value, LDZ(NE)","40.0000","22/05/2021 10:33:11",""
"22/05/2021 10:30:15","22/05/2021","Calorific Value, LDZ(NO)","40.5000","22/05/2021 10:33:11",""
"22/05/2021 10:30:15","22/05/2021","Calorific Value, LDZ(NT)","39.1000","22/05/2021 10:33:11",""
"22/05/2021 10:30:15","22/05/2021","Calorific Value, LDZ(NW)","40.0000","22/05/2021 10:33:11",""
"22/05/2021 10:30:15","22/05/2021","Calorific Value, LDZ(SC)","39.7000","22/05/2021 10:33:11",""
"22/05/2021 10:30:15","22/05/2021","Calorific Value, LDZ(SE)","39.0000","22/05/2021 10:33:11",""
"22/05/2021 10:30:15","22/05/2021","Calorific Value, LDZ(SO)","39.1000","22/05/2021 10:33:11",""
"22/05/2021 10:30:15","22/05/2021","Calorific Value, LDZ(SW)","39.2000","22/05/2021 10:33:11",""
"22/05/2021 10:30:15","22/05/2021","Calorific Value, LDZ(WM)","39.5000","22/05/2021 10:33:11",""
"22/05/2021 10:30:15","22/05/2021","Calorific Value, LDZ(WN)","39.9000","22/05/2021 10:33:11",""
"22/05/2021 10:30:15","22/05/2021","Calorific Value, LDZ(WS)","39.2000","22/05/2021 10:33:11",""
"22/05/2021 10:30:15","21/05/2021","Calorific Value, Campbeltown","38.8000","22/05/2021 10:33:11",""
"22/05/2021 10:30:15","21/05/2021","Calorific Value, LDZ(EA)","39.2000","22/05/2021 10:33:11",""
"22/05/2021 10:30:15","21/05/2021","Calorific Value, LDZ(EM)","39.2000","22/05/2021 10:33:11",""
"22/05/2021 10:30:15","21/05/2021","Calorific Value, LDZ(NE)","40.0000","22/05/2021 10:33:11",""
"22/05/2021 10:30:15","21/05/2021","Calorific Value, LDZ(NO)","40.4000","22/05/2021 10:33:11",""
"22/05/2021 10:30:15","21/05/2021","Calorific Value, LDZ(NT)","39.2000","22/05/2021 10:33:11",""
"22/05/2021 10:30:15","21/05/2021","Calorific Value, LDZ(NW)","40.0000","22/05/2021 10:33:11",""
"22/05/2021 10:30:15","21/05/2021","Calorific Value, LDZ(SC)","39.8000","22/05/2021 10:33:11",""
"22/05/2021 10:30:15","21/05/2021","Calorific Value, LDZ(SE)","39.0000","22/05/2021 10:33:11",""
"22/05/2021 10:30:15","21/05/2021","Calorific Value, LDZ(SO)","39.2000","22/05/2021 10:33:11",""
"22/05/2021 10:30:15","21/05/2021","Calorific Value, LDZ(SW)","39.2000","22/05/2021 10:33:11",""
"22/05/2021 10:30:15","21/05/2021","Calorific Value, LDZ(WM)","39.5000","22/05/2021 10:33:11",""
"22/05/2021 10:30:15","21/05/2021","Calorific Value, LDZ(WN)","39.9000","22/05/2021 10:33:11",""
"22/05/2021 10:30:15","21/05/2021","Calorific Value, LDZ(WS)","39.2000","22/05/2021 10:33:11",""
"22/05/2021 10:30:15","21/05/2021","Calorific Value, Oban","38.8000","22/05/2021 10:33:11",""
"22/05/2021 10:30:15","21/05/2021","Calorific Value, Stornoway","93.0000","22/05/2021 10:33:11",""
"22/05/2021 10:30:15","21/05/2021","Calorific Value, Stranraer","38.8000","22/05/2021 10:33:11",""
"22/05/2021 10:30:15","21/05/2021","Calorific Value, Thurso","38.8000","22/05/2021 10:33:11",""
"22/05/2021 10:30:15","21/05/2021","Calorific Value, Wick","38.8000","22/05/2021 10:33:11",""
"21/05/2021 16:00:11","19/05/2021","Calorific Value, LDZ(NE)","40.1000","21/05/2021 16:03:55",""
"21/05/2021 16:00:11","19/05/2021","Calorific Value, LDZ(NO)","40.4000","21/05/2021 16:03:55",""
"21/05/2021 10:30:21","21/05/2021","Calorific Value, LDZ(EA)","39.2000","21/05/2021 10:33:42",""
"21/05/2021 10:30:21","21/05/2021","Calorific Value, LDZ(EM)","39.2000","21/05/2021 10:33:42",""
"21/05/2021 10:30:21","21/05/2021","Calorific Value, LDZ(NE)","40.0000","21/05/2021 10:33:42",""
"21/05/2021 10:30:21","21/05/2021","Calorific Value, LDZ(NO)","40.5000","21/05/2021 10:33:42",""
"21/05/2021 10:30:21","21/05/2021","Calorific Value, LDZ(NT)","39.2000","21/05/2021 10:33:42",""
"21/05/2021 10:30:21","21/05/2021","Calorific Value, LDZ(NW)","40.0000","21/05/2021 10:33:42",""
"21/05/2021 10:30:21","21/05/2021","Calorific Value, LDZ(SC)","40.1000","21/05/2021 10:33:42",""
"21/05/2021 10:30:21","21/05/2021","Calorific Value, LDZ(SE)","39.1000","21/05/2021 10:33:42",""
"21/05/2021 10:30:21","21/05/2021","Calorific Value, LDZ(SO)","39.2000","21/05/2021 10:33:42",""
"21/05/2021 10:30:21","21/05/2021","Calorific Value, LDZ(SW)","39.4000","21/05/2021 10:33:42",""
"21/05/2021 10:30:21","21/05/2021","Calorific Value, LDZ(WM)","39.4000","21/05/2021 10:33:42",""
"21/05/2021 10:30:21","21/05/2021","Calorific Value, LDZ(WN)","39.7000","21/05/2021 10:33:42",""
"21/05/2021 10:30:21","21/05/2021","Calorific Value, LDZ(WS)","39.2000","21/05/2021 10:33:42",""
"21/05/2021 10:30:21","20/05/2021","Calorific Value, Campbeltown","38.8000","21/05/2021 10:33:42",""
"21/05/2021 10:30:21","20/05/2021","Calorific Value, LDZ(EA)","39.2000","21/05/2021 10:33:42",""
"21/05/2021 10:30:21","20/05/2021","Calorific Value, LDZ(EM)","39.1000","21/05/2021 10:33:42",""
"21/05/2021 10:30:21","20/05/2021","Calorific Value, LDZ(NE)","40.0000","21/05/2021 10:33:42",""
"21/05/2021 10:30:21","20/05/2021","Calorific Value, LDZ(NO)","40.4000","21/05/2021 10:33:42",""
"21/05/2021 10:30:21","20/05/2021","Calorific Value, LDZ(NT)","39.2000","21/05/2021 10:33:42",""
"21/05/2021 10:30:21","20/05/2021","Calorific Value, LDZ(NW)","40.0000","21/05/2021 10:33:42",""
"21/05/2021 10:30:21","20/05/2021","Calorific Value, LDZ(SC)","40.1000","21/05/2021 10:33:42",""
"21/05/2021 10:30:21","20/05/2021","Calorific Value, LDZ(SE)","39.0000","21/05/2021 10:33:42",""
"21/05/2021 10:30:21","20/05/2021","Calorific Value, LDZ(SO)","39.2000","21/05/2021 10:33:42",""
"21/05/2021 10:30:21","20/05/2021","Calorific Value, LDZ(SW)","39.2000","21/05/2021 10:33:42",""
"21/05/2021 10:30:21","20/05/2021","Calorific Value, LDZ(WM)","39.3000","21/05/2021 10:33:42",""
"21/05/2021 10:30:21","20/05/2021","Calorific Value, LDZ(WN)","39.8000","21/05/2021 10:33:42",""
"21/05/2021 10:30:21","20/05/2021","Calorific Value, LDZ(WS)","39.2000","21/05/2021 10:33:42",""
"21/05/2021 10:30:21","20/05/2021","Calorific Value, Oban","38.8000","21/05/2021 10:33:42",""
"21/05/2021 10:30:21","20/05/2021","Calorific Value, Stornoway","93.0000","21/05/2021 10:33:42",""
"21/05/2021 10:30:21","20/05/2021","Calorific Value, Stranraer","38.8000","21/05/2021 10:33:42",""
"21/05/2021 10:30:21","20/05/2021","Calorific Value, Thurso","38.8000","21/05/2021 10:33:42",""
"21/05/2021 10:30:21","20/05/2021","Calorific Value, Wick","38.8000","21/05/2021 10:33:42",""
"20/05/2021 16:00:14","18/05/2021","Calorific Value, LDZ(NE)","40.0000","20/05/2021 16:03:41",""
"20/05/2021 10:30:08","20/05/2021","Calorific Value, LDZ(EA)","39.2000","20/05/2021 10:33:22",""
"20/05/2021 10:30:08","20/05/2021","Calorific Value, LDZ(EM)","39.1000","20/05/2021 10:33:22",""
"20/05/2021 10:30:08","20/05/2021","Calorific Value, LDZ(NE)","40.0000","20/05/2021 10:33:22",""
"20/05/2021 10:30:08","20/05/2021","Calorific Value, LDZ(NO)","40.4000","20/05/2021 10:33:22",""
"20/05/2021 10:30:08","20/05/2021","Calorific Value, LDZ(NT)","39.2000","20/05/2021 10:33:22",""
"20/05/2021 10:30:08","20/05/2021","Calorific Value, LDZ(NW)","40.0000","20/05/2021 10:33:22",""
"20/05/2021 10:30:08","20/05/2021","Calorific Value, LDZ(SC)","40.1000","20/05/2021 10:33:22",""
"20/05/2021 10:30:08","20/05/2021","Calorific Value, LDZ(SE)","39.0000","20/05/2021 10:33:22",""
"20/05/2021 10:30:08","20/05/2021","Calorific Value, LDZ(SO)","39.2000","20/05/2021 10:33:22",""
"20/05/2021 10:30:08","20/05/2021","Calorific Value, LDZ(SW)","39.4000","20/05/2021 10:33:22",""
"20/05/2021 10:30:08","20/05/2021","Calorific Value, LDZ(WM)","39.4000","20/05/2021 10:33:22",""
"20/05/2021 10:30:08","20/05/2021","Calorific Value, LDZ(WN)","39.9000","20/05/2021 10:33:22",""
"20/05/2021 10:30:08","20/05/2021","Calorific Value, LDZ(WS)","39.2000","20/05/2021 10:33:22",""
"20/05/2021 10:30:08","19/05/2021","Calorific Value, Campbeltown","38.8000","20/05/2021 10:33:22",""
"20/05/2021 10:30:08","19/05/2021","Calorific Value, LDZ(EA)","39.2000","20/05/2021 10:33:22",""
"20/05/2021 10:30:08","19/05/2021","Calorific Value, LDZ(EM)","39.1000","20/05/2021 10:33:22",""
"20/05/2021 10:30:08","19/05/2021","Calorific Value, LDZ(NE)","40.0000","20/05/2021 10:33:22",""
"20/05/2021 10:30:08","19/05/2021","Calorific Value, LDZ(NO)","40.3000","20/05/2021 10:33:22",""
"20/05/2021 10:30:08","19/05/2021","Calorific Value, LDZ(NT)","39.2000","20/05/2021 10:33:22",""
"20/05/2021 10:30:08","19/05/2021","Calorific Value, LDZ(NW)","40.0000","20/05/2021 10:33:22",""
"20/05/2021 10:30:08","19/05/2021","Calorific Value, LDZ(SC)","40.1000","20/05/2021 10:33:22",""
"20/05/2021 10:30:08","19/05/2021","Calorific Value, LDZ(SE)","39.0000","20/05/2021 10:33:22",""
"20/05/2021 10:30:08","19/05/2021","Calorific Value, LDZ(SO)","39.3000","20/05/2021 10:33:22",""
"20/05/2021 10:30:08","19/05/2021","Calorific Value, LDZ(SW)","39.3000","20/05/2021 10:33:22",""
"20/05/2021 10:30:08","19/05/2021","Calorific Value, LDZ(WM)","39.3000","20/05/2021 10:33:22",""
"20/05/2021 10:30:08","19/05/2021","Calorific Value, LDZ(WN)","39.9000","20/05/2021 10:33:22",""
"20/05/2021 10:30:08","19/05/2021","Calorific Value, LDZ(WS)","39.2000","20/05/2021 10:33:22",""
"20/05/2021 10:30:08","19/05/2021","Calorific Value, Oban","38.8000","20/05/2021 10:33:22",""
"20/05/2021 10:30:08","19/05/2021","Calorific Value, Stornoway","93.0000","20/05/2021 10:33:22",""
"20/05/2021 10:30:08","19/05/2021","Calorific Value, Stranraer","38.8000","20/05/2021 10:33:22",""
"20/05/2021 10:30:08","19/05/2021","Calorific Value, Thurso","38.8000","20/05/2021 10:33:22",""
"20/05/2021 10:30:08","19/05/2021","Calorific Value, Wick","38.8000","20/05/2021 10:33:22",""
"19/05/2021 16:00:18","18/05/2021","Calorific Value, LDZ(NE)","40.1000","19/05/2021 16:04:15",""
"19/05/2021 10:30:15","19/05/2021","Calorific Value, LDZ(EA)","39.3000","19/05/2021 10:33:34",""
"19/05/2021 10:30:15","19/05/2021","Calorific Value, LDZ(EM)","39.2000","19/05/2021 10:33:34",""
"19/05/2021 10:30:15","19/05/2021","Calorific Value, LDZ(NE)","40.1000","19/05/2021 10:33:34",""
"19/05/2021 10:30:15","19/05/2021","Calorific Value, LDZ(NO)","40.4000","19/05/2021 10:33:34",""
"19/05/2021 10:30:15","19/05/2021","Calorific Value, LDZ(NT)","39.2000","19/05/2021 10:33:34",""
"19/05/2021 10:30:15","19/05/2021","Calorific Value, LDZ(NW)","40.2000","19/05/2021 10:33:34",""
"19/05/2021 10:30:15","19/05/2021","Calorific Value, LDZ(SC)","40.1000","19/05/2021 10:33:34",""
"19/05/2021 10:30:15","19/05/2021","Calorific Value, LDZ(SE)","39.1000","19/05/2021 10:33:34",""
"19/05/2021 10:30:15","19/05/2021","Calorific Value, LDZ(SO)","39.3000","19/05/2021 10:33:34",""
"19/05/2021 10:30:15","19/05/2021","Calorific Value, LDZ(SW)","39.4000","19/05/2021 10:33:34",""
"19/05/2021 10:30:15","19/05/2021","Calorific Value, LDZ(WM)","39.2000","19/05/2021 10:33:34",""
"19/05/2021 10:30:15","19/05/2021","Calorific Value, LDZ(WN)","39.8000","19/05/2021 10:33:34",""
"19/05/2021 10:30:15","19/05/2021","Calorific Value, LDZ(WS)","39.1000","19/05/2021 10:33:34",""
"19/05/2021 10:30:15","18/05/2021","Calorific Value, Campbeltown","38.8000","19/05/2021 10:33:34",""
"19/05/2021 10:30:15","18/05/2021","Calorific Value, LDZ(EA)","39.3000","19/05/2021 10:33:34",""
"19/05/2021 10:30:15","18/05/2021","Calorific Value, LDZ(EM)","39.2000","19/05/2021 10:33:34",""
"19/05/2021 10:30:15","18/05/2021","Calorific Value, LDZ(NE)","40.0000","19/05/2021 10:33:34",""
"19/05/2021 10:30:15","18/05/2021","Calorific Value, LDZ(NO)","40.3000","19/05/2021 10:33:34",""
"19/05/2021 10:30:15","18/05/2021","Calorific Value, LDZ(NT)","39.3000","19/05/2021 10:33:34",""
"19/05/2021 10:30:15","18/05/2021","Calorific Value, LDZ(NW)","40.0000","19/05/2021 10:33:34",""
"19/05/2021 10:30:15","18/05/2021","Calorific Value, LDZ(SC)","40.0000","19/05/2021 10:33:34",""
"19/05/2021 10:30:15","18/05/2021","Calorific Value, LDZ(SE)","39.1000","19/05/2021 10:33:34",""
"19/05/2021 10:30:15","18/05/2021","Calorific Value, LDZ(SO)","39.2000","19/05/2021 10:33:34",""
"19/05/2021 10:30:15","18/05/2021","Calorific Value, LDZ(SW)","39.3000","19/05/2021 10:33:34",""
"19/05/2021 10:30:15","18/05/2021","Calorific Value, LDZ(WM)","39.3000","19/05/2021 10:33:34",""
"19/05/2021 10:30:15","18/05/2021","Calorific Value, LDZ(WN)","39.8000","19/05/2021 10:33:34",""
"19/05/2021 10:30:15","18/05/2021","Calorific Value, LDZ(WS)","39.2000","19/05/2021 10:33:34",""
"19/05/2021 10:30:15","18/05/2021","Calorific Value, Oban","38.8000","19/05/2021 10:33:34",""
"19/05/2021 10:30:15","18/05/2021","Calorific Value, Stornoway","93.0000","19/05/2021 10:33:34",""
"19/05/2021 10:30:15","18/05/2021","Calorific Value, Stranraer","38.8000","19/05/2021 10:33:34",""
"19/05/2021 10:30:15","18/05/2021","Calorific Value, Thurso","38.8000","19/05/2021 10:33:34",""
"19/05/2021 10:30:15","18/05/2021","Calorific Value, Wick","38.8000","19/05/2021 10:33:34",""
"18/05/2021 10:30:29","18/05/2021","Calorific Value, LDZ(EA)","39.2000","18/05/2021 10:37:40",""
"18/05/2021 10:30:29","18/05/2021","Calorific Value, LDZ(EM)","39.2000","18/05/2021 10:37:40",""
"18/05/2021 10:30:29","18/05/2021","Calorific Value, LDZ(NE)","40.1000","18/05/2021 10:37:40",""
"18/05/2021 10:30:29","18/05/2021","Calorific Value, LDZ(NO)","40.2000","18/05/2021 10:37:40",""
"18/05/2021 10:30:29","18/05/2021","Calorific Value, LDZ(NT)","39.2000","18/05/2021 10:37:40",""
"18/05/2021 10:30:29","18/05/2021","Calorific Value, LDZ(NW)","40.2000","18/05/2021 10:37:40",""
"18/05/2021 10:30:29","18/05/2021","Calorific Value, LDZ(SC)","40.0000","18/05/2021 10:37:40",""
"18/05/2021 10:30:29","18/05/2021","Calorific Value, LDZ(SE)","39.0000","18/05/2021 10:37:40",""
"18/05/2021 10:30:29","18/05/2021","Calorific Value, LDZ(SO)","39.2000","18/05/2021 10:37:40",""
"18/05/2021 10:30:29","18/05/2021","Calorific Value, LDZ(SW)","39.4000","18/05/2021 10:37:40",""
"18/05/2021 10:30:29","18/05/2021","Calorific Value, LDZ(WM)","39.2000","18/05/2021 10:37:40",""
"18/05/2021 10:30:29","18/05/2021","Calorific Value, LDZ(WN)","39.8000","18/05/2021 10:37:40",""
"18/05/2021 10:30:29","18/05/2021","Calorific Value, LDZ(WS)","39.3000","18/05/2021 10:37:40",""
"18/05/2021 10:30:29","17/05/2021","Calorific Value, Campbeltown","38.8000","18/05/2021 10:37:40",""
"18/05/2021 10:30:29","17/05/2021","Calorific Value, LDZ(EA)","39.3000","18/05/2021 10:37:40",""
"18/05/2021 10:30:29","17/05/2021","Calorific Value, LDZ(EM)","39.3000","18/05/2021 10:37:40",""
"18/05/2021 10:30:29","17/05/2021","Calorific Value, LDZ(NE)","40.1000","18/05/2021 10:37:40",""
